,City,destination,km distance,label,num reviews,rating
283,"Albia, IA"," Des Moines, IA ",92.21306849448987,gas stations,3,3.5
284,"Albia, IA"," Albia, IA ",0.4519786242344876,restaurant,21,4.5
285,"Albia, IA"," Albia, IA ",1.27892260198233,restaurant,12,4.0
286,"Albia, IA"," Albia, IA ",1.0630344307895303,restaurant,6,3.0
287,"Albia, IA"," Albia, IA ",0.4418703932129839,restaurant,2,3.5
288,"Albia, IA"," Albia, IA ",0.5263532210305507,restaurant,4,4.0
289,"Albia, IA"," Albia, IA ",0.34492726389492706,restaurant,9,2.5
290,"Albia, IA"," Albia, IA ",0.8265377391503487,restaurant,2,2.5
291,"Albia, IA"," Albia, IA ",0.9965469498483336,restaurant,1,1.0
292,"Albia, IA"," Albia, IA ",1.18376149396051,pharmacy,1,5.0
293,"Albia, IA"," Oskaloosa, IA ",32.797704995389445,pharmacy,2,5.0
294,"Albia, IA"," Ottumwa, IA ",32.35329090307285,pharmacy,2,5.0
295,"Albia, IA"," Knoxville, IA ",41.64686935894896,pharmacy,1,5.0
296,"Albia, IA"," Ottumwa, IA ",32.77449417373593,pharmacy,1,2.0
297,"Albia, IA"," Carlisle, IA ",78.1818128916835,pharmacy,1,2.0
298,"Albia, IA"," Des Moines, IA ",92.4590870186891,pharmacy,3,3.5
299,"Albia, IA"," Indianola, IA ",73.82068830938464,pharmacy,1,1.0
300,"Albia, IA"," Des Moines, IA ",95.49936751160736,pharmacy,4,3.5
301,"Albia, IA"," Des Moines, IA ",92.5492995961328,pharmacy,2,4.0
302,"Albia, IA"," Des Moines, IA ",92.73704382445496,pharmacy,1,5.0
303,"Albia, IA"," Des Moines, IA ",88.7101934726861,pharmacy,2,2.5
304,"Albia, IA"," Des Moines, IA ",94.65371483229319,pharmacy,2,4.5
305,"Albia, IA"," Des Moines, IA ",88.86686419310992,pharmacy,1,1.0
306,"Albia, IA"," Altoona, IA ",90.19938933413492,pharmacy,6,4.5
307,"Albia, IA"," Altoona, IA ",88.21352185398024,pharmacy,4,3.5
308,"Albia, IA"," Des Moines, IA ",86.86897823924825,pharmacy,1,5.0
309,"Albia, IA"," Des Moines, IA ",87.25916012413015,pharmacy,1,5.0
310,"Albia, IA"," Des Moines, IA ",89.95193929084427,pharmacy,2,4.0
311,"Albia, IA"," Des Moines, IA ",86.8259150918715,pharmacy,12,4.0
312,"Albia, IA"," Ottumwa, IA ",30.684129057547075,dental,3,4.0
313,"Albia, IA"," Oskaloosa, IA ",32.94505202843998,dental,2,3.0
